,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
70,Jimmy Graham,CHI,TE,34,11,11,0,0,0,0,0,0,0,0,0,61,38,334,8.79,5,1,0,5,0,0,63,101.4,104.4,82.4,2,10,71,2020
71,Mike Gesicki,MIA,TE,25,11,7,0,0,0,0,0,0,0,0,0,51,30,449,14.97,3,0,0,3,0,0,63,92.9,95.9,77.9,2,11,72,2020
72,Matt Ryan,ATL,QB,35,11,11,277,427,3163,17,8,23,73,3.17,1,0,0,0,0,0,2,1,1,0,1,192,191.8,203.8,199.8,0,11,73,2020
73,Christian Kirk,ARI,WR,24,10,8,0,0,0,0,0,2,3,1.50,0,58,34,496,14.59,6,1,0,6,0,0,86,119.9,122.9,102.9,0,29,74,2020
74,Teddy Bridgewater,CAR,QB,28,11,11,257,366,2819,14,8,37,208,5.62,3,0,0,0,0,0,1,1,3,0,1,192,191.6,206.6,199.6,0,12,75,2020
75,Derek Watt,PIT,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,2020
76,Johnny Stanton,CLE,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77,2020
77,George Kittle,SFO,TE,27,6,6,0,0,0,0,0,2,17,8.50,0,49,37,474,12.81,2,0,0,2,0,0,61,98.1,101.1,79.6,0,12,78,2020
78,Ben Roethlisberger,PIT,QB,38,10,10,255,380,2534,24,5,19,14,0.74,0,0,0,0,0,0,3,0,0,0,1,191,190.8,198.8,195.8,0,13,0,2020
79,Kirk Cousins ,MIN,QB,32,11,11,218,320,2768,23,11,16,77,4.81,0,0,0,0,0,0,4,3,0,0,4,190,190.4,207.4,201.4,0,14,0,2020
80,Matthew Stafford,DET,QB,32,11,11,244,386,2876,18,8,22,85,3.86,0,1,0,0,0,0,2,1,0,0,2,182,181.5,193.5,189.5,0,15,0,2020
81,Jared Goff,LAR,QB,26,11,11,271,403,3021,16,10,35,55,1.57,2,0,0,0,0,0,7,4,2,0,1,176,176.3,193.3,186.3,0,16,0,2020
82,Carson Wentz ,PHI,QB,28,10,10,220,377,2326,14,14,44,216,4.91,5,0,0,0,0,0,10,4,5,0,5,175,174.6,198.6,188.6,0,17,0,2020
83,Joe Burrow ,CIN,QB,24,10,10,264,404,2688,13,5,37,142,3.84,3,0,0,0,0,0,9,4,3,0,0,174,173.7,188.7,178.7,0,18,0,2020
84,Cam Newton,NWE,QB,31,10,10,178,266,1984,4,9,92,387,4.21,9,1,1,16,16.00,0,3,1,9,0,1,172,172.7,188.7,181.2,0,19,0,2020
85,Derek Carr,LVR,QB,29,11,11,241,348,2646,19,4,30,124,4.13,0,0,0,0,0,0,11,8,0,0,0,170,170.2,188.2,174.2,0,20,0,2020
86,Philip Rivers,IND,QB,39,11,11,263,391,2978,16,9,13,-3,-0.23,0,0,0,0,0,0,1,0,0,0,0,165,164.8,176.8,173.8,0,21,0,2020
87,Drew Brees,NOR,QB,41,9,9,219,298,2196,18,3,15,1,0.07,2,0,0,0,0,0,5,2,2,0,0,162,161.9,169.9,164.9,0,22,0,2020
88,Daniel Jones ,NYG,QB,23,11,11,228,361,2335,8,9,55,403,7.33,1,0,0,0,0,0,7,4,1,0,1,148,147.7,166.7,156.7,0,23,0,2020
89,Baker Mayfield,CLE,QB,25,11,11,180,294,2108,17,7,32,76,2.38,0,0,0,0,0,0,3,1,0,0,0,144,143.9,154.9,150.9,0,24,0,2020
90,Ryan Fitzpatrick,MIA,QB,38,8,7,174,254,1909,12,8,30,151,5.03,2,1,1,0,0.00,0,2,0,2,1,2,141,142.5,156.5,150.0,0,25,0,2020
91,Dak Prescott ,DAL,QB,27,5,5,151,222,1856,9,4,18,93,5.17,3,1,1,11,11.00,1,3,3,4,1,1,135,135.6,145.6,139.1,0,26,0,2020
92,Gardner Minshew II,JAX,QB,24,7,7,176,267,1855,13,5,25,122,4.88,1,1,1,0,0.00,0,4,3,1,0,1,130,131.4,145.4,135.9,0,27,0,2020
93,Nick Foles,CHI,QB,31,8,7,202,311,1852,10,8,14,3,0.21,1,0,0,0,0,0,2,0,1,0,0,104,104.4,115.4,112.4,0,28,0,2020
94,Drew Lock,DEN,QB,24,8,8,149,268,1767,7,11,24,88,3.67,2,0,0,0,0,0,5,1,2,0,0,95,95.5,110.5,106.5,0,29,0,2020
95,Chase Edmonds,ARI,RB,24,11,2,0,0,0,0,0,70,344,4.91,1,47,40,311,7.78,3,2,0,4,0,0,90,129.5,135.5,109.5,0,24,0,2020
96,Jerick McKinnon ,SFO,RB,28,11,4,0,0,0,0,0,80,315,3.94,5,39,27,197,7.30,1,0,0,6,0,0,87,114.2,120.2,100.7,0,25,0,2020
97,Nelson Agholor,LVR,WR,27,11,8,0,0,0,0,0,0,0,0,0,44,29,497,17.14,6,0,0,6,0,0,86,114.7,117.7,100.2,0,30,0,2020
98,Julio Jones ,ATL,WR,31,8,8,0,0,0,0,0,0,0,0,0,58,45,677,15.04,3,0,0,3,0,0,86,130.7,133.7,108.2,0,31,0,2020
99,Miles Sanders ,PHI,RB,23,7,7,0,0,0,0,0,102,585,5.74,3,35,17,116,6.82,0,3,2,3,1,0,86,103.1,111.1,94.6,0,26,0,2020
100,JuJu Smith-Schuster,PIT,WR,24,10,10,0,0,0,0,0,0,0,0,0,75,58,535,9.22,5,0,0,5,1,0,86,143.5,146.5,114.5,0,32,0,2020
101,Jamaal Williams,GNB,RB,25,10,3,0,0,0,0,0,98,409,4.17,2,31,27,212,7.85,1,0,0,3,2,0,84,111.1,117.1,97.6,0,27,0,2020
102,Rex Burkhead ,NWE,RB,30,10,0,0,0,0,0,0,67,274,4.09,3,33,25,192,7.68,3,0,0,6,0,0,83,107.6,113.6,95.1,0,29,0,2020
103,Chris Carson,SEA,RB,26,6,6,0,0,0,0,0,66,323,4.89,3,25,22,147,6.68,3,1,0,6,0,0,83,105.0,111.0,94.0,0,28,0,2020
104,Brandon Aiyuk ,SFO,WR,22,8,8,0,0,0,0,0,5,61,12.20,2,56,35,446,12.74,3,0,0,5,0,0,81,115.7,118.7,98.2,0,33,0,2020
105,Keelan Cole,JAX,WR,27,11,4,0,0,0,0,0,1,2,2.00,0,60,39,497,12.74,4,0,0,5,0,0,80,118.9,121.9,99.4,0,35,0,2020
106,Corey Davis ,TEN,WR,25,9,7,0,0,0,0,0,0,0,0,0,58,42,619,14.74,3,0,0,3,0,0,80,121.9,124.9,100.9,0,36,0,2020
107,Wayne Gallman,NYG,RB,26,10,5,0,0,0,0,0,93,369,3.97,6,21,16,72,4.50,0,0,0,6,0,0,80,96.1,99.1,88.1,0,30,0,2020
108,Marvin Jones ,DET,WR,30,11,11,0,0,0,0,0,0,0,0,0,69,43,503,11.70,5,0,0,5,0,0,80,123.3,126.3,101.8,0,34,0,2020
109,Taysom Hill,NOR,QB,30,11,6,31,44,397,0,1,54,279,5.17,5,8,6,74,12.33,1,6,3,6,0,0,79,85.2,95.2,83.2,0,30,0,2020
110,David Johnson,HOU,RB,29,8,8,0,0,0,0,0,103,408,3.96,3,25,16,161,10.06,1,1,1,4,0,0,79,94.9,101.9,86.9,0,31,0,2020
111,Joe Mixon,CIN,RB,24,6,6,0,0,0,0,0,119,428,3.60,3,26,21,138,6.57,1,1,1,4,0,0,79,99.6,106.6,89.1,0,32,0,2020
112,Malcolm Brown ,LAR,RB,27,11,0,0,0,0,0,0,87,371,4.26,5,27,19,120,6.32,0,1,1,5,0,0,77,96.1,103.1,86.6,0,33,0,2020
113,DJ Chark,JAX,WR,24,9,9,0,0,0,0,0,0,0,0,0,66,41,534,13.02,4,0,0,4,0,0,77,118.4,121.4,97.9,0,37,0,2020
114,Diontae Johnson ,PIT,WR,24,9,9,0,0,0,0,0,2,13,6.50,0,81,49,537,10.96,4,1,1,4,0,0,77,126.0,130.0,101.5,0,38,0,2020
115,Mike Williams ,LAC,WR,26,10,7,0,0,0,0,0,1,1,1.00,0,57,32,529,16.53,4,0,0,4,0,0,77,109.0,112.0,93.0,0,39,0,2020
116,Adrian Peterson,DET,RB,35,11,8,0,0,0,0,0,119,444,3.73,4,16,11,78,7.09,0,0,0,4,0,0,76,87.2,90.2,81.7,0,34,0,2020
117,Marquez Valdes-Scantling,GNB,WR,26,11,9,0,0,0,0,0,2,13,6.50,0,51,25,518,20.72,4,1,1,4,0,0,75,100.1,104.1,87.6,0,40,0,2020
118,Chris Godwin,TAM,WR,24,8,8,0,0,0,0,0,0,0,0,0,60,49,562,11.47,3,0,0,3,0,0,74,123.2,126.2,98.7,0,44,0,2020
119,Jarvis Landry ,CLE,WR,28,11,10,2,2,56,1,0,3,7,2.33,0,68,46,614,13.35,1,0,0,1,0,0,74,120.3,123.3,97.3,0,41,0,2020
120,Tim Patrick,DEN,WR,27,10,10,0,0,0,0,0,0,0,0,0,58,36,563,15.64,3,0,0,3,0,0,74,110.3,113.3,92.3,0,43,0,2020
121,Darius Slayton,NYG,WR,23,11,10,0,0,0,0,0,2,-1,-0.50,0,66,38,584,15.37,3,1,1,3,0,0,74,112.3,116.3,93.3,0,42,0,2020
122,Christian McCaffrey ,CAR,RB,24,3,3,0,0,0,0,0,59,225,3.81,5,19,17,149,8.76,1,0,0,6,0,0,73,90.4,96.4,81.9,0,35,0,2020
123,Devin Singletary,BUF,RB,23,11,11,0,0,0,0,0,110,483,4.39,1,39,28,207,7.39,0,1,1,1,0,0,73,101.0,108.0,87.0,0,36,0,2020
124,Giovani Bernard,CIN,RB,29,11,5,0,0,0,0,0,65,223,3.43,2,44,34,261,7.68,2,0,0,4,0,0,72,106.4,112.4,89.4,0,37,0,2020
125,Damien Harris ,NWE,RB,23,8,8,0,0,0,0,0,110,561,5.10,2,4,3,37,12.33,0,0,0,2,0,0,72,74.8,77.8,73.3,0,38,0,2020
126,Nick Mullens ,SFO,QB,25,7,5,139,206,1642,6,7,8,1,0.13,0,0,0,0,0,0,4,2,0,0,0,72,71.8,83.8,78.8,0,31,0,2020
127,Jerry Jeudy ,DEN,WR,21,11,9,0,0,0,0,0,0,0,0,0,78,37,589,15.92,2,2,0,2,0,0,71,107.9,110.9,89.4,0,45,0,2020
128,Travis Fulgham,PHI,WR,25,7,7,0,0,0,0,0,0,0,0,0,56,31,451,14.55,4,0,0,4,0,0,69,100.1,103.1,84.6,0,46,0,2020
129,Myles Gaskin,MIA,RB,23,7,5,0,0,0,0,0,100,387,3.87,2,35,30,198,6.60,0,1,1,2,0,0,69,98.5,105.5,83.5,0,39,0,2020
130,J.K. Dobbins ,BAL,RB,22,10,0,0,0,0,0,0,72,380,5.28,3,22,17,103,6.06,0,0,0,3,1,0,68,85.3,91.3,76.8,0,40,0,2020
131,Mitchell Trubisky ,CHI,QB,26,5,4,77,132,802,9,5,12,101,8.42,0,0,0,0,0,0,4,1,0,0,1,68,68.2,80.2,73.2,0,32,0,2020
132,Sam Darnold ,NYJ,QB,23,7,7,128,218,1242,3,8,20,147,7.35,1,0,0,0,0,0,1,0,1,0,0,66,66.4,80.4,74.4,0,33,0,2020
133,Raheem Mostert,SFO,RB,28,5,5,0,0,0,0,0,67,346,5.16,2,14,13,150,11.54,1,1,1,3,0,0,66,78.6,85.6,72.1,0,41,0,2020
134,Frank Gore,NYJ,RB,37,11,10,0,0,0,0,0,141,521,3.70,1,16,13,70,5.38,0,0,0,1,0,0,65,78.1,81.1,71.6,0,42,0,2020
135,Mecole Hardman,KAN,WR,22,11,6,0,0,0,0,0,2,16,8.00,0,39,29,434,14.97,3,0,0,3,1,0,65,94.0,97.0,79.5,0,47,0,2020
136,Odell Beckham Jr.,CLE,WR,28,7,7,1,1,18,0,0,3,72,24.00,1,43,23,319,13.87,3,0,0,4,0,0,64,86.8,89.8,75.3,0,48,0,2020
137,Jamison Crowder,NYJ,WR,27,7,5,0,0,0,0,0,0,0,0,0,57,35,456,13.03,3,0,0,3,0,0,64,98.6,101.6,81.1,0,49,0,2020
138,Jimmy Garoppolo,SFO,QB,29,6,6,94,140,1096,7,5,10,25,2.50,0,0,0,0,0,0,2,0,0,0,0,64,64.3,72.3,69.3,0,34,0,2020
139,Hunter Renfrow,LVR,WR,25,11,4,0,0,0,0,0,0,0,0,0,50,38,509,13.39,2,1,0,2,0,0,63,100.9,103.9,81.9,0,50,0,2020
140,Randall Cobb,HOU,WR,30,10,2,0,1,0,0,0,0,0,0,0,48,38,441,11.61,3,0,0,3,0,0,62,100.1,103.1,81.1,0,52,0,2020
141,Leonard Fournette ,TAM,RB,25,10,0,0,0,0,0,0,69,271,3.93,3,37,28,171,6.11,0,0,0,3,0,0,62,90.2,96.2,76.2,0,43,0,2020
142,David Moore,SEA,WR,25,10,4,0,0,0,0,0,5,46,9.20,0,31,24,337,14.04,4,1,0,4,0,0,62,86.3,89.3,74.3,0,51,0,2020
143,Evan Engram ,NYG,TE,26,11,9,0,0,0,0,0,5,21,4.20,1,76,44,476,10.82,1,1,1,2,0,0,60,103.7,107.7,81.7,0,13,0,2020
144,Michael Gallup,DAL,WR,24,11,10,0,0,0,0,0,0,0,0,0,68,37,538,14.54,1,0,0,1,0,0,60,96.8,99.8,78.3,0,53,0,2020
145,J.D. McKissic,WAS,RB,27,11,4,0,0,0,0,0,50,223,4.46,1,68,46,338,7.35,0,2,1,1,0,0,60,106.1,113.1,83.1,0,44,0,2020
146,Zack Moss ,BUF,RB,23,8,0,0,0,0,0,0,68,283,4.16,3,14,11,77,7.00,1,0,0,4,0,0,60,71.0,74.0,65.5,0,45,0,2020
147,Emmanuel Sanders ,NOR,WR,33,9,2,0,0,0,0,0,0,0,0,0,48,36,417,11.58,3,1,0,3,0,0,60,95.7,98.7,77.7,0,54,0,2020
148,Gabriel Davis,BUF,WR,21,11,6,0,0,0,0,0,1,0,0.00,0,35,22,354,16.09,4,0,0,4,0,0,59,81.4,84.4,70.4,0,55,0,2020
149,Josh Reynolds,LAR,WR,25,11,9,0,0,0,0,0,0,0,0,0,60,38,488,12.84,2,2,1,2,0,0,59,96.8,100.8,77.8,0,56,0,2020
150,Dalton Schultz,DAL,TE,24,11,9,0,0,0,0,0,0,0,0,0,66,44,432,9.82,3,1,1,3,0,0,59,103.2,107.2,81.2,0,14,0,2020
151,Eric Ebron,PIT,TE,27,10,8,0,0,0,0,0,0,0,0,0,56,35,359,10.26,4,1,1,4,0,0,58,92.9,96.9,75.4,0,16,0,2020
152,Gus Edwards ,BAL,RB,25,10,3,0,0,0,0,0,85,376,4.42,3,7,3,42,14.00,0,1,1,3,0,0,58,60.8,64.8,59.3,0,47,0,2020
153,Austin Ekeler,LAC,RB,25,5,5,0,0,0,0,0,63,292,4.63,1,33,28,229,8.18,0,0,0,1,0,0,58,86.1,92.1,72.1,0,46,0,2020
154,Noah Fant,DEN,TE,23,10,9,0,0,0,0,0,0,0,0,0,60,40,435,10.88,2,0,0,2,1,0,58,97.5,100.5,77.5,0,17,0,2020
155,Logan Thomas,WAS,TE,29,11,10,1,1,28,0,0,2,5,2.50,0,60,34,328,9.65,4,0,0,4,0,0,58,92.4,95.4,75.4,0,15,0,2020
156,Devontae Booker,LVR,RB,28,11,0,0,0,0,0,0,59,326,5.53,3,14,11,64,5.82,0,1,0,3,0,0,57,68.0,71.0,62.5,0,49,0,2020
157,Damiere Byrd ,NWE,WR,27,11,9,0,0,0,0,0,1,11,11.00,0,55,35,502,14.34,1,2,0,1,0,0,57,92.3,95.3,74.8,0,57,0,2020
158,Joshua Kelley,LAC,RB,23,11,0,0,0,0,0,0,109,346,3.17,2,21,21,145,6.90,0,2,2,2,0,0,57,78.1,86.1,67.6,0,48,0,2020
159,Preston Williams,MIA,WR,23,8,7,0,0,0,0,0,0,0,0,0,35,18,288,16.00,4,0,0,4,2,0,57,74.8,77.8,65.8,0,58,0,2020
160,Willie Snead ,BAL,WR,28,10,7,0,0,0,0,0,0,0,0,0,40,28,379,13.54,3,1,0,3,0,0,56,83.9,86.9,69.9,0,59,0,2020
161,Jeff Wilson,SFO,RB,25,7,1,0,0,0,0,0,50,206,4.12,4,7,6,75,12.50,1,1,1,5,0,0,56,62.1,66.1,59.1,0,50,0,2020
162,Marquise Brown ,BAL,WR,23,10,9,0,0,0,0,0,1,1,1.00,0,59,32,431,13.47,2,0,0,2,0,0,55,87.2,90.2,71.2,0,60,0,2020
