,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
336,Christian Blake,ATL,WR,24,11,0,0,0,0,0,0,0,0,0,0,17,12,142,11.83,0,0,0,0,0,0,14,26.2,29.2,20.2,0,136,0,2020
337,Pharaoh Brown,HOU,TE,26,9,6,0,0,0,0,0,0,0,0,0,9,7,75,10.71,1,0,0,1,0,0,14,20.5,20.5,17.0,0,64,0,2020
338,Marquez Callaway,NOR,WR,22,9,1,0,0,0,0,0,0,0,0,0,19,15,136,9.07,0,0,0,0,0,0,14,28.6,31.6,21.1,0,137,0,2020
339,Darrell Daniels,ARI,TE,26,9,6,0,0,0,0,0,0,0,0,0,8,6,83,13.83,1,0,0,1,0,0,14,20.3,20.3,17.3,0,63,0,2020
340,Ray-Ray McCloud,PIT,WR,24,10,1,0,0,0,0,0,4,65,16.25,0,15,14,70,5.00,0,0,0,0,0,0,14,27.5,27.5,20.5,0,138,0,2020
341,Alfred Morris ,NYG,RB,32,4,0,0,0,0,0,0,29,137,4.72,0,1,1,4,4.00,0,0,0,0,0,0,14,15.1,18.1,14.6,0,94,0,2020
342,Gabe Nabers,LAC,RB,23,11,3,0,0,0,0,0,1,4,4.00,0,5,4,20,5.00,2,0,0,2,0,0,14,18.4,18.4,16.4,0,93,0,2020
343,JJ Arcega-Whiteside,PHI,WR,24,7,0,0,0,0,0,0,0,0,0,0,5,2,45,22.50,0,0,0,1,1,0,13,14.5,14.5,13.5,0,142,0,2020
344,Bryan Edwards ,LVR,WR,22,7,3,0,0,0,0,0,0,0,0,0,11,8,131,16.38,0,0,0,0,0,0,13,21.1,24.1,17.1,0,140,0,2020
345,De'Michael Harris,IND,WR,22,5,0,0,0,0,0,0,5,49,9.80,0,10,10,79,7.90,0,0,0,0,0,0,13,22.8,22.8,17.8,0,141,0,2020
346,Ryan Nall,CHI,RB,25,11,0,0,0,0,0,0,1,0,0.00,0,9,8,67,8.38,1,0,0,1,0,0,13,20.7,20.7,16.7,0,95,0,2020
347,Donovan Peoples-Jones,CLE,WR,21,8,1,0,0,0,0,0,0,0,0,0,6,5,72,14.40,1,0,0,1,0,0,13,18.2,18.2,15.7,0,139,0,2020
348,Tarik Cohen,CHI,RB,25,3,0,0,0,0,0,0,14,74,5.29,0,9,6,41,6.83,0,0,0,0,0,0,12,17.5,17.5,14.5,0,97,0,2020
349,Chris Hogan ,NYJ,WR,33,5,4,0,0,0,0,0,0,0,0,0,26,14,118,8.43,0,0,0,0,0,0,12,25.8,28.8,18.8,0,145,0,2020
350,Foster Moreau,LVR,TE,23,11,1,0,0,0,0,0,0,0,0,0,5,4,64,16.00,1,0,0,1,0,0,12,16.4,16.4,14.4,0,65,0,2020
351,Troymaine Pope,LAC,RB,27,6,0,0,0,0,0,0,15,76,5.07,0,10,8,42,5.25,0,0,0,0,0,0,12,19.8,19.8,15.8,0,96,0,2020
352,Mohamed Sanu,2TM,WR,31,5,0,0,0,0,0,0,0,0,0,0,5,5,41,8.20,1,0,0,1,1,0,12,17.1,17.1,14.6,0,143,0,2020
353,Malik Taylor,GNB,WR,25,11,1,0,0,0,0,0,1,9,9.00,0,5,4,52,13.00,1,0,0,1,0,0,12,16.1,16.1,14.1,0,144,0,2020
354,C.J. Beathard,SFO,QB,27,3,0,23,38,232,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,11.3,12.3,11.3,0,47,0,2020
355,Alex Collins,SEA,RB,26,2,1,0,0,0,0,0,13,48,3.69,1,2,1,4,4.00,0,0,0,1,0,0,11,12.2,12.2,11.7,0,100,0,2020
356,AJ Dillon,GNB,RB,22,7,0,0,0,0,0,0,23,97,4.22,0,1,1,16,16.00,0,0,0,0,0,0,11,12.3,12.3,11.8,0,99,0,2020
357,Virgil Green,LAC,TE,32,6,3,0,0,0,0,0,0,0,0,0,6,3,50,16.67,1,0,0,1,0,0,11,14.0,14.0,12.5,0,66,0,2020
358,Josh Hill,NOR,TE,30,10,6,0,0,0,0,0,0,0,0,0,9,7,45,6.43,1,1,0,1,0,0,11,17.5,17.5,14.0,0,67,0,2020
359,Brett Rypien,DEN,QB,24,3,1,27,40,295,2,4,5,-5,-1.00,0,0,0,0,0,0,1,0,0,0,0,11,11.3,15.3,15.3,0,46,0,2020
360,Ke'Shawn Vaughn ,TAM,RB,23,6,0,0,0,0,0,0,8,46,5.75,0,7,4,27,6.75,1,1,1,1,0,0,11,15.3,16.3,13.3,0,98,0,2020
361,Phillip Walker,CAR,QB,25,3,1,27,42,273,1,2,5,-2,-0.40,0,1,0,0,0,0,1,0,0,0,0,11,10.7,12.7,12.7,0,48,0,2020
362,Noah Brown,DAL,WR,24,11,1,0,0,0,0,0,0,0,0,0,13,10,101,10.10,0,0,0,0,0,0,10,20.1,23.1,15.1,0,146,0,2020
363,Keke Coutee,HOU,WR,23,3,0,0,0,0,0,0,0,0,0,0,9,6,38,6.33,1,1,1,1,1,0,10,15.8,16.8,12.8,0,148,0,2020
364,Mack Hollins,MIA,WR,27,11,0,0,0,0,0,0,0,0,0,0,7,5,40,8.00,1,0,0,1,0,0,10,15.0,15.0,12.5,0,147,0,2020
365,Anthony McFarland Jr.,PIT,RB,21,7,0,0,0,0,0,0,20,67,3.35,0,6,4,28,7.00,0,0,0,0,0,0,10,13.5,13.5,11.5,0,101,0,2020
366,Maxx Williams,ARI,TE,26,5,4,0,0,0,0,0,0,0,0,0,7,5,43,8.60,1,0,0,1,0,0,10,15.3,15.3,12.8,0,68,0,2020
367,Javon Wims,CHI,WR,26,8,1,0,0,0,0,0,0,0,0,0,8,5,35,7.00,1,0,0,1,0,0,10,14.5,14.5,12.0,0,149,0,2020
368,Ameer Abdullah,MIN,RB,27,11,0,0,0,0,0,0,2,7,3.50,0,2,2,23,11.50,1,0,0,1,0,0,9,11.0,11.0,10.0,0,104,0,2020
369,Saquon Barkley,NYG,RB,23,2,2,0,0,0,0,0,19,34,1.79,0,9,6,60,10.00,0,0,0,0,0,0,9,15.4,15.4,12.4,0,102,0,2020
370,Cameron Batson,TEN,WR,25,7,1,0,0,0,0,0,3,20,6.67,0,8,8,74,9.25,0,0,0,0,0,0,9,17.4,17.4,13.4,0,150,0,2020
371,C.J. Board,NYG,WR,27,9,4,0,0,0,0,0,1,3,3.00,0,13,9,87,9.67,0,0,0,0,0,0,9,18.0,18.0,13.5,0,152,0,2020
372,Parris Campbell,IND,WR,23,2,2,0,0,0,0,0,2,16,8.00,0,9,6,71,11.83,0,0,0,0,0,0,9,14.7,14.7,11.7,0,154,0,2020
373,Jakob Johnson,NWE,RB,26,11,8,0,0,0,0,0,0,0,0,0,7,7,34,4.86,1,1,0,1,0,0,9,16.4,16.4,12.9,0,103,0,2020
374,Joe Reed,LAC,WR,22,9,0,0,0,0,0,0,5,29,5.80,1,1,0,0,0,0,0,0,1,0,0,9,8.9,8.9,8.9,0,153,0,2020
375,Kaden Smith,NYG,TE,23,10,9,0,0,0,0,0,0,0,0,0,17,14,87,6.21,0,1,0,0,0,0,9,22.7,22.7,15.7,0,69,0,2020
376,Trent Taylor,SFO,WR,26,11,1,0,0,0,0,0,0,0,0,0,21,10,86,8.60,0,0,0,0,0,0,9,18.6,18.6,13.6,0,155,0,2020
377,Tyrod Taylor ,LAC,QB,31,2,1,16,30,208,0,0,6,7,1.17,0,0,0,0,0,0,0,0,0,0,0,9,9.0,9.0,9.0,0,49,0,2020
378,Justin Watson,TAM,WR,24,9,2,0,0,0,0,0,0,0,0,0,11,7,94,13.43,0,0,0,0,0,0,9,16.4,16.4,12.9,0,151,0,2020
379,Josh Adams,NYJ,RB,24,3,0,0,0,0,0,0,4,9,2.25,1,2,2,14,7.00,0,0,0,1,0,0,8,10.3,10.3,9.3,0,107,0,2020
380,Blake Bell,DAL,TE,29,11,2,0,0,0,0,0,0,0,0,0,11,7,80,11.43,0,0,0,0,0,0,8,15.0,15.0,11.5,0,70,0,2020
381,Tevin Coleman,SFO,RB,27,3,1,0,0,0,0,0,21,50,2.38,0,4,3,34,11.33,0,0,0,0,0,0,8,11.4,11.4,9.9,0,105,0,2020
382,Reggie Gilliam,BUF,TE,23,11,0,0,0,0,0,0,0,0,0,0,2,2,16,8.00,1,0,0,1,0,0,8,9.6,9.6,8.6,0,72,0,2020
383,Ty Johnson,2TM,RB,23,8,0,0,0,0,0,0,8,60,7.50,0,11,6,24,4.00,0,0,0,0,0,0,8,14.4,14.4,11.4,0,106,0,2020
384,Austin Mack,NYG,WR,23,6,0,0,0,0,0,0,0,0,0,0,7,6,82,13.67,0,0,0,0,0,0,8,14.2,14.2,11.2,0,156,0,2020
385,MyCole Pruitt,TEN,TE,28,6,3,0,0,0,0,0,0,0,0,0,4,3,17,5.67,1,0,0,1,0,0,8,10.7,10.7,9.2,0,71,0,2020
386,Equanimeous St. Brown,GNB,WR,24,7,1,0,0,0,0,0,1,7,7.00,0,8,4,74,18.50,0,0,0,0,0,0,8,12.1,12.1,10.1,0,157,0,2020
387,Ben DiNucci,DAL,QB,24,3,1,23,43,219,0,0,6,22,3.67,0,0,0,0,0,0,4,2,0,0,0,7,7.0,9.0,7.0,0,52,0,2020
388,Chad Henne,KAN,QB,35,2,0,5,6,30,0,0,5,-2,-0.40,1,0,0,0,0,0,1,0,1,0,0,7,7.0,7.0,7.0,0,50,0,2020
389,Jalen Hurts ,PHI,QB,22,9,0,2,2,27,0,0,12,56,4.67,0,1,1,3,3.00,0,3,0,0,0,0,7,8.0,8.0,7.5,0,51,0,2020
390,C.J. Prosise,HOU,RB,26,9,0,0,0,0,0,0,9,17,1.89,0,4,4,8,2.00,1,1,1,1,0,0,7,10.5,11.5,8.5,0,111,0,2020
391,Anthony Sherman,KAN,RB,32,8,0,0,0,0,0,0,2,2,1.00,0,1,1,5,5.00,1,0,0,1,0,0,7,7.7,7.7,7.2,0,110,0,2020
392,Courtland Sutton ,DEN,WR,25,1,1,0,0,0,0,0,0,0,0,0,6,3,66,22.00,0,0,0,0,0,0,7,9.6,9.6,8.1,0,158,0,2020
393,J.J. Taylor,NWE,RB,22,3,0,0,0,0,0,0,16,70,4.38,0,2,1,4,4.00,0,0,0,0,0,0,7,8.4,8.4,7.9,0,108,0,2020
394,Colin Thompson,CAR,TE,27,11,2,0,0,0,0,0,0,0,0,0,2,1,7,7.00,1,0,0,1,0,0,7,7.7,7.7,7.2,0,74,0,2020
395,Nick Vannett,DEN,TE,27,10,7,0,0,0,0,0,0,0,0,0,14,8,68,8.50,0,0,0,0,0,0,7,14.8,14.8,10.8,0,73,0,2020
396,DeAndre Washington,2TM,RB,27,3,0,0,0,0,0,0,18,56,3.11,0,6,3,13,4.33,0,0,0,0,0,0,7,9.9,9.9,8.4,0,109,0,2020
397,Jamal Agnew,DET,WR,25,9,1,0,1,0,0,0,3,15,5.00,0,16,9,48,5.33,0,1,0,0,0,0,6,15.3,15.3,10.8,0,160,0,2020
398,Brandon Allen,CIN,QB,28,1,1,17,29,136,1,1,4,7,1.75,0,0,0,0,0,0,1,1,0,0,0,6,6.1,8.1,7.1,0,54,0,2020
399,Jason Croom,PHI,TE,26,4,0,0,0,0,0,0,0,0,0,0,1,1,3,3.00,1,0,0,1,0,0,6,7.3,7.3,6.8,0,76,0,2020
400,Chase Daniel,DET,QB,34,1,0,8,13,94,1,1,1,5,5.00,0,0,0,0,0,0,0,0,0,0,0,6,6.3,7.3,7.3,0,53,0,2020
401,Ashton Dulin,IND,WR,23,8,0,0,0,0,0,0,1,3,3.00,0,4,3,53,17.67,0,1,0,0,0,0,6,8.6,8.6,7.1,0,163,0,2020
402,Ryan Griffin,NYJ,TE,30,11,4,0,0,0,0,0,0,0,0,0,10,7,55,7.86,0,0,0,0,0,0,6,12.5,12.5,9.0,0,78,0,2020
403,Marlon Mack,IND,RB,24,1,1,0,0,0,0,0,4,26,6.50,0,3,3,30,10.00,0,0,0,0,0,0,6,8.6,8.6,7.1,0,116,0,2020
404,LeSean McCoy,TAM,RB,32,7,0,0,0,0,0,0,6,-1,-0.17,0,14,10,61,6.10,0,0,0,0,0,0,6,16.0,16.0,11.0,0,115,0,2020
405,Vance McDonald,PIT,TE,30,8,6,0,0,0,0,0,0,0,0,0,11,9,61,6.78,0,0,0,0,0,0,6,15.1,15.1,10.6,0,77,0,2020
406,Jaydon Mickens,TAM,WR,26,9,0,0,0,0,0,0,0,0,0,0,10,7,58,8.29,0,0,0,0,0,0,6,12.8,12.8,9.3,0,162,0,2020
407,Malcolm Perry,MIA,RB,23,5,2,0,0,0,0,0,2,1,0.50,0,10,7,62,8.86,0,0,0,0,0,0,6,13.3,13.3,9.8,0,112,0,2020
408,Damion Ratley,NYG,WR,25,5,0,0,0,0,0,0,0,0,0,0,10,4,63,15.75,0,1,0,0,0,0,6,10.3,10.3,8.3,0,161,0,2020
409,Patrick Ricard,BAL,RB,26,10,5,0,0,0,0,0,1,-1,-1.00,0,7,5,24,4.80,1,1,1,1,0,0,6,11.3,12.3,8.8,0,113,0,2020
410,Lee Smith,BUF,WR,33,5,0,0,0,0,0,0,0,0,0,0,2,2,4,2.00,1,0,0,1,0,0,6,8.4,8.4,7.4,0,159,0,2020
411,Rodney Smith,CAR,RB,24,3,0,0,0,0,0,0,18,60,3.33,0,2,1,2,2.00,0,1,0,0,0,0,6,7.2,7.2,6.7,0,114,0,2020
412,Jordan Thomas,2TM,TE,24,6,0,0,0,0,0,0,0,0,0,0,2,1,3,3.00,1,0,0,1,0,0,6,7.3,7.3,6.8,0,75,0,2020
413,Trenton Cannon,CAR,RB,26,10,0,0,0,0,0,0,9,35,3.89,0,3,3,16,5.33,0,0,0,0,0,0,5,8.1,8.1,6.6,0,117,0,2020
414,Demetrius Harris,CHI,TE,29,11,5,0,0,0,0,0,0,0,0,0,14,7,45,6.43,0,0,0,0,0,0,5,11.5,11.5,8.0,0,82,0,2020
415,Dontrell Hilliard,CLE,RB,25,5,0,0,0,0,0,0,9,48,5.33,0,1,1,2,2.00,0,0,0,0,0,0,5,6.0,6.0,5.5,0,118,0,2020
416,Chris Manhertz,CAR,TE,28,12,8,0,0,0,0,0,0,0,0,0,8,6,52,8.67,0,0,0,0,0,0,5,11.2,11.2,8.2,0,80,0,2020
417,Johnny Mundt,LAR,TE,26,11,1,0,0,0,0,0,0,0,0,0,4,4,53,13.25,0,0,0,0,0,0,5,9.3,9.3,7.3,0,79,0,2020
418,Geoff Swaim,TEN,TE,27,6,4,0,0,0,0,0,0,0,0,0,8,6,49,8.17,0,0,0,0,0,0,5,10.9,10.9,7.9,0,81,0,2020
419,Isaiah Zuber,NWE,WR,23,4,0,0,0,0,0,0,2,21,10.50,0,2,2,29,14.50,0,0,0,0,0,0,5,7.0,7.0,6.0,0,164,0,2020
420,Khari Blasingame,TEN,RB,24,10,6,0,0,0,0,0,0,0,0,0,5,4,39,9.75,0,0,0,0,0,0,4,7.9,7.9,5.9,0,120,0,2020
421,Lawrence Cager,NYJ,WR,23,2,1,0,0,0,0,0,0,0,0,0,6,2,35,17.50,0,0,0,0,0,0,4,5.5,5.5,4.5,0,168,0,2020
422,Ted Ginn Jr.,CHI,WR,35,6,0,0,0,0,0,0,0,0,0,0,6,3,40,13.33,0,1,0,0,0,0,4,7.0,7.0,5.5,0,165,0,2020
423,C.J. Ham,MIN,RB,27,11,7,0,0,0,0,0,4,18,4.50,0,6,2,19,9.50,0,0,0,0,0,0,4,5.7,5.7,4.7,0,121,0,2020
424,KeeSean Johnson,ARI,WR,24,3,0,0,0,0,0,0,0,0,0,0,9,4,36,9.00,0,0,0,0,0,0,4,7.6,7.6,5.6,0,167,0,2020
425,Patrick Laird,MIA,RB,25,11,0,0,0,0,0,0,4,27,6.75,0,6,5,36,7.20,0,1,1,0,0,0,4,9.3,10.3,6.8,0,119,0,2020
426,Riley Ridley,CHI,WR,24,3,1,0,0,0,0,0,0,0,0,0,4,4,39,9.75,0,0,0,0,0,0,4,7.9,7.9,5.9,0,166,0,2020
427,Jarrett Stidham,NWE,QB,24,2,0,11,23,124,1,3,4,6,1.50,0,0,0,0,0,0,0,0,0,0,0,4,3.6,6.6,6.6,0,55,0,2020
428,Dez Bryant,BAL,WR,32,2,0,0,0,0,0,0,0,0,0,0,5,4,28,7.00,0,0,0,0,0,0,3,6.8,6.8,4.8,0,173,0,2020
429,Stephen Carlson,CLE,TE,24,11,2,0,0,0,0,0,0,0,0,0,2,1,11,11.00,0,0,0,0,1,0,3,4.1,4.1,3.6,0,84,0,2020
430,Cethan Carter ,CIN,TE,25,10,2,0,0,0,0,0,0,0,0,0,5,4,32,8.00,0,0,0,0,0,0,3,7.2,7.2,5.2,0,83,0,2020
431,Ben Ellefson,JAX,TE,24,7,4,0,0,0,0,0,0,0,0,0,4,1,10,10.00,0,0,0,0,1,0,3,4.0,4.0,3.5,0,85,0,2020
432,Antonio Gandy-Golden,WAS,WR,22,5,2,0,0,0,0,0,1,22,22.00,0,4,1,3,3.00,0,0,0,0,0,0,3,3.5,3.5,3.0,0,176,0,2020
433,Nick Keizer,KAN,TE,25,11,2,0,0,0,0,0,0,0,0,0,8,5,48,9.60,0,1,1,0,0,0,3,7.8,8.8,5.3,0,86,0,2020
434,Josh Malone,NYJ,WR,24,4,0,0,0,0,0,0,1,12,12.00,0,6,4,16,4.00,0,0,0,0,0,0,3,6.8,6.8,4.8,0,174,0,2020
435,Gunner Olszewski,NWE,WR,24,8,2,0,0,0,0,0,5,23,4.60,0,2,2,10,5.00,0,1,0,0,0,0,3,5.3,5.3,4.3,0,170,0,2020
436,Seth Roberts ,CAR,WR,29,7,1,0,0,0,0,0,0,0,0,0,6,4,31,7.75,0,0,0,0,0,0,3,7.1,7.1,5.1,0,172,0,2020
437,Bo Scarbrough,SEA,RB,26,1,0,0,0,0,0,0,6,31,5.17,0,0,0,0,0,0,0,0,0,0,0,3,3.1,3.1,3.1,0,124,0,2020
438,Darrius Shepherd,GNB,WR,25,8,0,0,0,0,0,0,0,0,0,0,8,5,46,9.20,0,1,1,0,0,0,3,7.6,8.6,5.1,0,175,0,2020
439,Darwin Thompson,KAN,RB,23,10,0,0,0,0,0,0,13,52,4.00,0,4,0,0,0,0,1,1,0,0,0,3,3.2,4.2,3.2,0,123,0,2020
440,Austin Walter,SFO,RB,24,3,0,0,0,0,0,0,1,3,3.00,0,1,1,27,27.00,0,0,0,0,0,0,3,4.0,4.0,3.5,0,125,0,2020
441,Nick Westbrook-Ikhine,TEN,WR,23,10,1,0,0,0,0,0,0,0,0,0,5,2,14,7.00,0,0,0,0,1,0,3,5.4,5.4,4.4,0,169,0,2020
442,Trayveon Williams,CIN,RB,23,5,0,0,0,0,0,0,6,20,3.33,0,1,1,13,13.00,0,0,0,0,0,0,3,4.3,4.3,3.8,0,122,0,2020
443,Jameis Winston,NOR,QB,26,3,0,7,11,75,0,0,7,-5,-0.71,0,0,0,0,0,0,0,0,0,0,0,3,2.5,2.5,2.5,0,56,0,2020
444,Brandon Zylstra,CAR,WR,27,12,0,0,0,0,0,0,0,0,0,0,2,2,32,16.00,0,0,0,0,0,0,3,5.2,5.2,4.2,0,171,0,2020
445,Alex Armah,CAR,RB,26,12,1,0,0,0,0,0,5,6,1.20,0,6,3,9,3.00,0,0,0,0,0,0,2,4.5,4.5,3.0,0,134,0,2020
446,Mike Boone,MIN,RB,25,11,0,0,0,0,0,0,3,18,6.00,0,1,1,6,6.00,0,0,0,0,0,0,2,3.4,3.4,2.9,0,126,0,2020
447,Deontay Burnett,PHI,WR,23,2,0,0,0,0,0,0,0,0,0,0,4,3,19,6.33,0,0,0,0,0,0,2,4.9,4.9,3.4,0,179,0,2020
448,Michael Burton,NOR,RB,28,11,4,0,0,0,0,0,5,8,1.60,0,2,2,15,7.50,0,0,0,0,0,0,2,4.3,4.3,3.3,0,127,0,2020
449,Antonio Callaway,MIA,WR,23,2,1,0,0,0,0,0,0,0,0,0,2,2,20,10.00,0,0,0,0,0,0,2,4.0,4.0,3.0,0,178,0,2020
450,Austin Carr,NOR,WR,27,4,0,0,0,0,0,0,0,0,0,0,2,2,16,8.00,0,0,0,0,0,0,2,3.6,3.6,2.6,0,181,0,2020
451,Tyler Conklin,MIN,TE,25,11,0,0,0,0,0,0,0,0,0,0,4,3,16,5.33,0,0,0,0,0,0,2,4.6,4.6,3.1,0,91,0,2020
452,Darrynton Evans ,TEN,RB,22,2,0,0,0,0,0,0,5,21,4.20,0,0,0,0,0,0,0,0,0,0,0,2,2.1,2.1,2.1,0,129,0,2020
453,Daurice Fountain,IND,WR,25,5,0,0,0,0,0,0,0,0,0,0,3,2,23,11.50,0,0,0,0,0,0,2,4.3,4.3,3.3,0,177,0,2020
454,Jaeden Graham,ATL,TE,25,11,0,0,0,0,0,0,0,0,0,0,3,2,18,9.00,0,0,0,0,0,0,2,3.8,3.8,2.8,0,90,0,2020
455,Brian Hoyer ,NWE,QB,35,1,1,15,24,130,0,1,1,8,8.00,0,0,0,0,0,0,1,1,0,0,0,2,2.0,4.0,3.0,0,57,0,2020
456,Tanner Hudson,TAM,TE,26,9,0,0,0,0,0,0,0,0,0,0,6,2,21,10.50,0,0,0,0,0,0,2,4.1,4.1,3.1,0,88,0,2020
457,Andy Janovich,CLE,RB,27,9,3,0,0,0,0,0,2,4,2.00,0,3,2,13,6.50,0,0,0,0,0,0,2,3.7,3.7,2.7,0,131,0,2020
458,Case Keenum,CLE,QB,32,1,0,5,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8,1.8,1.8,0,60,0,2020
459,Colt McCoy,NYG,QB,34,1,0,6,10,31,0,0,5,7,1.40,0,0,0,0,0,0,0,0,0,0,0,2,1.9,1.9,1.9,0,58,0,2020
460,Donte Moncrief,NWE,WR,27,2,0,0,0,0,0,0,0,0,0,0,2,1,15,15.00,0,0,0,0,0,0,2,2.5,2.5,2.0,0,183,0,2020
461,Ty Montgomery,NOR,RB,27,4,0,0,0,0,0,0,1,-4,-4.00,0,3,2,25,12.50,0,0,0,0,0,0,2,4.1,4.1,3.1,0,128,0,2020
462,Elijhaa Penny,NYG,RB,27,11,0,0,0,0,0,0,3,5,1.67,0,2,1,11,11.00,0,0,0,0,0,0,2,2.6,2.6,2.1,0,132,0,2020
463,Nathan Peterman ,LVR,QB,26,1,0,3,5,25,0,0,1,9,9.00,0,0,0,0,0,0,0,0,0,0,0,2,1.9,1.9,1.9,0,59,0,2020
464,John Ross ,CIN,WR,25,3,1,0,0,0,0,0,0,0,0,0,7,2,17,8.50,0,0,0,0,0,0,2,3.7,3.7,2.7,0,180,0,2020
465,Keith Smith,ATL,RB,28,11,4,0,0,0,0,0,3,4,1.33,0,8,5,15,3.00,0,0,0,0,0,0,2,6.9,6.9,4.4,0,130,0,2020
466,Diontae Spencer,DEN,WR,28,7,0,0,0,0,0,0,1,9,9.00,0,2,1,7,7.00,0,0,0,0,0,0,2,2.6,2.6,2.1,0,182,0,2020
467,Luke Stocker,ATL,TE,32,11,8,0,0,0,0,0,0,0,0,0,6,3,20,6.67,0,0,0,0,0,0,2,5.0,5.0,3.5,0,89,0,2020
468,Levine Toilolo,NYG,TE,29,11,2,0,0,0,0,0,0,0,0,0,4,3,22,7.33,0,0,0,0,0,0,2,5.2,5.2,3.7,0,87,0,2020
469,Dwayne Washington,NOR,RB,26,7,0,0,0,0,0,0,8,15,1.88,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1.5,1.5,0,133,0,2020
470,Matt Barkley,BUF,QB,30,2,0,3,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0,62,0,2020
471,Nick Bellore,SEA,RB,31,10,0,0,0,0,0,0,1,5,5.00,0,1,1,9,9.00,0,0,0,0,0,0,1,2.4,2.4,1.9,0,135,0,2020
472,Lynn Bowden Jr.,MIA,RB,23,5,1,0,0,0,0,0,4,9,2.25,0,2,1,-1,-1.00,0,0,0,0,0,0,1,1.8,1.8,1.3,0,145,0,2020
473,Tyler Bray,CHI,QB,29,1,0,1,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0,63,0,2020
474,Jake Butt,DEN,TE,25,5,1,0,0,0,0,0,0,0,0,0,4,2,5,2.50,0,0,0,0,0,0,1,2.5,2.5,1.5,0,102,0,2020
475,Derek Carrier,LVR,TE,30,11,0,0,0,0,0,0,0,0,0,0,1,1,14,14.00,0,0,0,0,0,0,1,2.4,2.4,1.9,0,92,0,2020
476,Tyrie Cleveland,DEN,WR,23,8,0,0,0,0,0,0,0,0,0,0,3,1,7,7.00,0,0,0,0,0,0,1,1.7,1.7,1.2,0,192,0,2020
477,Pharoh Cooper,CAR,WR,25,12,0,0,0,0,0,0,0,0,0,0,1,1,12,12.00,0,1,0,0,0,0,1,2.2,2.2,1.7,0,188,0,2020
478,Chandler Cox,MIA,RB,24,7,3,0,0,0,0,0,0,0,0,0,2,2,9,4.50,0,0,0,0,0,0,1,2.9,2.9,1.9,0,142,0,2020
479,River Cracraft,SFO,WR,26,4,1,0,0,0,0,0,0,0,0,0,5,2,13,6.50,0,0,0,0,0,0,1,3.3,3.3,2.3,0,185,0,2020
480,Josiah Deguara ,GNB,TE,23,2,1,0,0,0,0,0,0,0,0,0,2,1,12,12.00,0,0,0,0,0,0,1,2.2,2.2,1.7,0,94,0,2020
481,Brandon Dillon,MIN,TE,23,2,0,0,0,0,0,0,0,0,0,0,1,1,6,6.00,0,0,0,0,0,0,1,1.6,1.6,1.1,0,99,0,2020
482,Rico Dowdle,DAL,RB,22,10,0,0,0,0,0,0,3,13,4.33,0,0,0,0,0,0,0,0,0,0,0,1,1.3,1.3,1.3,0,139,0,2020
483,Ryan Finley,CIN,QB,26,2,0,3,10,30,0,1,1,19,19.00,0,0,0,0,0,0,0,0,0,0,0,1,1.1,2.1,2.1,0,61,0,2020
484,D.J. Foster ,ARI,RB,27,6,0,0,0,0,0,0,1,2,2.00,0,1,1,7,7.00,0,0,0,0,0,0,1,1.9,1.9,1.4,0,140,0,2020
485,Bennie Fowler,NOR,WR,29,5,0,0,0,0,0,0,0,0,0,0,6,2,11,5.50,0,0,0,0,0,0,1,3.1,3.1,2.1,0,191,0,2020
486,Troy Fumagalli,DEN,TE,25,3,0,0,0,0,0,0,0,0,0,0,5,2,12,6.00,0,0,0,0,0,0,1,3.2,3.2,2.2,0,95,0,2020
487,Cullen Gillaspia,HOU,RB,25,7,0,0,0,0,0,0,0,0,0,0,1,1,6,6.00,0,0,0,0,0,0,1,1.6,1.6,1.1,0,147,0,2020
488,Temarrick Hemingway,WAS,TE,27,7,0,0,0,0,0,0,0,0,0,0,2,1,10,10.00,0,0,0,0,0,0,1,2.0,2.0,1.5,0,97,0,2020
489,Cody Hollister ,TEN,WR,27,2,0,0,0,0,0,0,0,0,0,0,1,1,12,12.00,0,0,0,0,0,0,1,2.2,2.2,1.7,0,189,0,2020
490,Jason Huntley,PHI,RB,22,4,0,0,0,0,0,0,3,14,4.67,0,1,0,0,0,0,0,0,0,0,0,1,1.4,1.4,1.4,0,136,0,2020
491,Blake Jarwin,DAL,TE,26,1,1,0,0,0,0,0,0,0,0,0,1,1,12,12.00,0,0,0,0,0,0,1,2.2,2.2,1.7,0,96,0,2020
492,Juwan Johnson,NOR,WR,24,2,2,0,0,0,0,0,0,0,0,0,3,1,5,5.00,0,0,0,0,0,0,1,1.5,1.5,1.0,0,195,0,2020
493,Dalton Keene ,NWE,TE,21,1,0,0,0,0,0,0,0,0,0,0,1,1,8,8.00,0,0,0,0,0,0,1,1.8,1.8,1.3,0,98,0,2020
